grid_id,longitude,latitude,gold_label_strict,distance_to_nearest_deposit_km,distance_to_nearest_broad_gold_site_km,spatial_fold,Random Forest,XGBoost,final_ensemble_score,model_disagreement,final_rank,pre_gravity_rank,pre_gravity_score,rank_movement_after_gravity_reduction,final_tier
312,121.38618692797156,-30.017786561264813,0.0,21.277923341071,16.202553728413715,3,0.2494233292445549,0.028577610850334167,0.13900047004744454,0.22084571839422074,60,52,0.3270427009404342,-8,Lower
345,120.864900499753,-29.83812432626661,0.0,20.75195980529897,20.48604274488388,3,0.23979624717047385,0.03649044781923294,0.1381433474948534,0.2033057993512409,61,43,0.3648719488715164,-18,Lower
208,122.42875978440868,-30.556773266259427,0.0,17.752789029465355,10.052661486392322,0,0.16737494453272028,0.08597130328416824,0.12667312390844426,0.08140364124855204,62,106,0.123612864857563,44,Lower
74,122.32450249876496,-31.185591088753142,0.0,19.363699791732955,15.139977279223992,0,0.17223662561243752,0.0669558122754097,0.11959621894392361,0.10528081333702782,63,54,0.3167983708875012,-9,Lower
189,122.42875978440868,-30.64660438375853,0.0,21.177463943316308,0.8935197808885996,0,0.16456597636410444,0.0723293274641037,0.11844765191410407,0.09223664890000075,64,109,0.1178716094191282,45,Lower
317,121.90747335619012,-30.017786561264813,0.0,25.04991970518204,7.802537808715561,2,0.1903310521959559,0.046063121408224106,0.11819708680209,0.14426793078773179,65,118,0.1020694043090756,53,Lower
280,122.01173064183382,-30.19744879626301,0.0,30.28606302107668,6.060794998289142,2,0.16779198667253636,0.06844476610422134,0.11811837638837885,0.09934722056831502,66,100,0.1372029567901707,34,Lower
401,120.76064321410928,-29.568630973769302,0.0,26.25510393878796,15.353201257443978,3,0.2012994648569111,0.03360768035054207,0.11745357260372659,0.16769178450636904,67,46,0.3544895359328281,-21,Lower
64,121.28192964232784,-31.185591088753142,0.0,17.670683245518898,17.670683245518898,4,0.20754815562264994,0.027055418118834496,0.11730178687074222,0.18049273750381545,68,33,0.4188680916265191,-35,Lower
316,121.8032160705464,-30.017786561264813,0.0,18.13271528653292,7.997227613262765,2,0.19127713037593136,0.04171116650104523,0.11649414843848829,0.14956596387488613,69,102,0.1319238597332453,33,Lower
75,122.42875978440868,-31.185591088753142,0.0,26.94367783897373,22.980314605864137,0,0.15991290446071693,0.06338316947221756,0.11164803696646725,0.09652973498849937,70,47,0.3539791889277361,-23,Lower
411,121.8032160705464,-29.568630973769302,0.0,36.30929990148349,4.920959887223679,2,0.16977781442108394,0.050910040736198425,0.11034392757864118,0.11886777368488552,71,114,0.1037754092625625,43,Lower
243,122.11598792747752,-30.377111031261222,0.0,15.37458975181482,7.291942488116274,2,0.180204050548225,0.03453158587217331,0.10736781821019915,0.1456724646760517,72,56,0.3002059097741088,-16,Lower
341,122.42875978440868,-29.92795544376571,0.0,16.89362117870692,7.214353974224814,2,0.17921435426307808,0.034760549664497375,0.10698745196378773,0.1444538045985807,73,117,0.1021166394297354,44,Lower
279,121.90747335619012,-30.19744879626301,0.0,20.450163341344297,6.7103766449302,2,0.14445422085355977,0.056508779525756836,0.1004815001896583,0.08794544132780294,74,93,0.1529608158864948,19,Lower
260,121.90747335619012,-30.28727991376212,0.0,20.974776351940108,10.24269356021532,2,0.14784421915438695,0.04763194918632507,0.09773808417035601,0.10021226996806187,75,95,0.151968010226806,20,Lower
